id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-7	/path/to/datasets/re-tacred/audio/train/train-7.wav:0:254689	15918	254689	<triplet> he <subj> he <obj> person identity	0	en
train-9	/path/to/datasets/re-tacred/audio/train/train-9.wav:0:228311	14269	228311	<triplet> Lashkar-e-Taiba <subj> Army of the Pure <obj> organization alternate names	0	en
train-19	/path/to/datasets/re-tacred/audio/train/train-19.wav:0:266949	16684	266949	<triplet> Ahmad Qattan <subj> Saudi <obj> person origin <subj> he <obj> person identity <subj> Arab League <obj> person employee of <subj> representative <obj> person title <subj> his <obj> person identity <subj> Saudi <obj> person origin <triplet> he <subj> Saudi <obj> person origin <subj> his <obj> person identity <subj> representative <obj> person title <subj> Ahmad Qattan <obj> person identity <triplet> his <subj> representative <obj> person title <subj> Ahmad Qattan <obj> person identity <subj> Arab League <obj> person employee of <subj> Saudi <obj> person employee of <subj> Saudi <obj> person origin	0	en
train-23	/path/to/datasets/re-tacred/audio/train/train-23.wav:0:156979	9811	156979	<triplet> Donald Wildmon <subj> American Family Association <obj> person employee of	0	en
train-29	/path/to/datasets/re-tacred/audio/train/train-29.wav:0:188187	11761	188187	<triplet> Fuller <subj> creator <obj> person title	0	en
train-31	/path/to/datasets/re-tacred/audio/train/train-31.wav:0:65585	4099	65585	<triplet> Disneyland <subj> Hong Kong <obj> organization city of branch	0	en
train-47	/path/to/datasets/re-tacred/audio/train/train-47.wav:0:277351	17334	277351	<triplet> Kim <subj> 25-year-old <obj> person age	0	en
train-49	/path/to/datasets/re-tacred/audio/train/train-49.wav:0:216794	13549	216794	<triplet> Andre Carson <subj> he <obj> person identity <subj> he <obj> person identity <triplet> he <subj> Andre Carson <obj> person identity <subj> he <obj> person identity <subj> Andre Carson <obj> person identity	0	en
train-58	/path/to/datasets/re-tacred/audio/train/train-58.wav:0:220137	13758	220137	<triplet> PRC <subj> Popular Resistance Committee <obj> organization alternate names	0	en
train-64	/path/to/datasets/re-tacred/audio/train/train-64.wav:0:231283	14455	231283	<triplet> Steve McPherson <subj> ABS <obj> person employee of <subj> president <obj> person title <subj> he <obj> person identity <triplet> he <subj> Steve McPherson <obj> person identity <subj> ABS <obj> person employee of	0	en
train-65	/path/to/datasets/re-tacred/audio/train/train-65.wav:0:195989	12249	195989	<triplet> she <subj> her <obj> person identity <triplet> her <subj> her <obj> person identity <subj> her <obj> person identity	0	en
train-70	/path/to/datasets/re-tacred/audio/train/train-70.wav:0:242057	15128	242057	<triplet> Alice <subj> she <obj> person identity <subj> her <obj> person identity <triplet> she <subj> her <obj> person identity <triplet> her <subj> she <obj> person identity <subj> her <obj> person identity <subj> Alice <obj> person identity	0	en
train-77	/path/to/datasets/re-tacred/audio/train/train-77.wav:0:219394	13712	219394	<triplet> Al Hubbard <subj> chairman <obj> person title <subj> chairman of the National Economic Council <obj> person employee of <subj> National Economic Council <obj> person employee of	0	en
train-81	/path/to/datasets/re-tacred/audio/train/train-81.wav:0:245772	15360	245772	<triplet> George Sheldon <subj> DCF <obj> person employee of <subj> Department of Children and Families <obj> person employee of	0	en
train-84	/path/to/datasets/re-tacred/audio/train/train-84.wav:0:71158	4447	71158	<triplet> Deaver <subj> Deaver <obj> person identity <subj> he <obj> person identity <subj> chairman <obj> person title <subj> Deaver <obj> person identity <triplet> he <subj> his <obj> person identity	0	en
train-85	/path/to/datasets/re-tacred/audio/train/train-85.wav:0:64471	4029	64471	<triplet> Trista <subj> she <obj> person identity <subj> 40 <obj> person age <subj> Trista <obj> person identity <subj> she <obj> person identity <triplet> she <subj> she <obj> person identity <subj> Trista <obj> person identity <subj> 40 <obj> person age <subj> she <obj> person identity <subj> she <obj> person identity <triplet> She <subj> Trista <obj> person identity <subj> she <obj> person identity <subj> Trista <obj> person identity <subj> she <obj> person identity <subj> she <obj> person identity <triplet> she <subj> Trista <obj> person identity <subj> 40 <obj> person age <subj> Trista <obj> person identity <subj> she <obj> person identity <subj> She <obj> person identity <subj> she <obj> person identity <triplet> Trista <subj> she <obj> person identity <subj> she <obj> person identity <subj> Trista <obj> person identity <subj> 40 <obj> person age <subj> She <obj> person identity <subj> she <obj> person identity	0	en
