id	audio	duration_ms	n_frames	tgt_text	speaker	tgt_lang
train-0	/path/to/datasets/conll04/audio/train/train-0.wav:0:239828	14989	239828	<triplet> Radio Reloj Network <subj> Havana <obj> OrgBased_In	0	en
train-1	/path/to/datasets/conll04/audio/train/train-1.wav:0:64099	4006	64099	<triplet> Bruno Pusterla <subj> Italian Agricultural Confederation <obj> Work_For	0	en
train-2	/path/to/datasets/conll04/audio/train/train-2.wav:0:201190	12574	201190	<triplet> Morgan City <subj> Louisiana <obj> Located_In	0	en
train-3	/path/to/datasets/conll04/audio/train/train-3.wav:0:152521	9532	152521	<triplet> Annie Oakley <subj> Willowdell , Darke County <obj> Live_In <triplet> Little Miss Sure Shot <subj> Willowdell , Darke County <obj> Live_In <triplet> Phoebe Ann Moses <subj> Willowdell , Darke County <obj> Live_In	0	en
train-4	/path/to/datasets/conll04/audio/train/train-4.wav:0:155493	9718	155493	<triplet> Livingston <subj> Texas <obj> Located_In	0	en
train-5	/path/to/datasets/conll04/audio/train/train-5.wav:0:226825	14176	226825	<triplet> XINHUA <subj> Beijing <obj> OrgBased_In	0	en
train-6	/path/to/datasets/conll04/audio/train/train-6.wav:0:198961	12435	198961	<triplet> Shi Liming <subj> Institute of Zoology <obj> Work_For <triplet> Institute of Zoology <subj> Kunming <obj> OrgBased_In	0	en
train-7	/path/to/datasets/conll04/audio/train/train-7.wav:0:257288	16080	257288	<triplet> Lucille Ball <subj> Jamestown N.Y. <obj> Live_In	0	en
train-8	/path/to/datasets/conll04/audio/train/train-8.wav:0:203790	12736	203790	<triplet> John Wilkes Booth <subj> Abraham Lincoln <obj> Kill	0	en
train-9	/path/to/datasets/conll04/audio/train/train-9.wav:0:350169	21885	350169	<triplet> Oswald <subj> President Kennedy <obj> Kill <subj> Officer Tippit <obj> Kill	0	en
